0 0 0 0 0 1000 0 1000 267 0 0 0 4 0 0 0 0 0 0 0 250
0 0 0 0 0 0 0 0 0 109 0 4 15 52 0 0 0 0 0 0 1000
0 0 0 133 0 250 0 0 313 435 316 0 0 191 0 0 0 0 0 0 0
0 0 0 533 1000 1000 1000 1000 817 1000 829 1000 655 712 1000 750 1000 1000 0 0 0
0 0 0 1000 1000 1000 1000 1000 954 1000 1000 1000 908 1000 1000 1000 1000 1000 0 0 0
0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 977 1000 1000 1000 1000 1000 267 67 0
0 0 0 734 934 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0
0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 500 0 0 0 0
0 0 200 800 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0
0 1000 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0
0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0
0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 823 293 0 0
0 0 0 750 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 998 1000 1000 1000 347 93 0
0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 998 993 974 907 654 0 23 0
0 0 250 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 994 1000 708 177 0 0
1 2 0 1000 1000 1000 1000 1000 995 1000 1000 1000 0 732 929 1000 1000 1000 0 0 0
0 5 0 1000 1000 1000 934 1000 981 928 1000 1000 1000 1000 982 1000 1000 750 0 0 0
72 19 0 1000 1000 1000 734 1000 1000 732 1000 822 1000 750 1000 1000 1000 1000 0 0 0
268 0 0 0 0 0 0 250 0 0 0 286 322 0 0 0 0 1000 1000 0 1000
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 333 333 0 0
0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 1000 0 0 0 0 0
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
0 1 2
0 8 -3
0 -5 -6
0 -1 -2
0 -5 2
0 -7 -5
0 5 5
0 -3 6
