tr,1,2,3,4,5,6,7,8
50,12490425.120,75166510.900,97426933.080,111945069.180,172570933.160,161630282.060,137641084.860,129713467.060
75,17850277.420,93098986.940,103067943.120,139428023.840,219804082.980,192975192.520,181995329.420,153647102.880
100,27907540.580,108842828.700,104918118.840,143287843.300,219088887.300,223807079.100,202611196.140,174446724.680
125,38251170.560,107030106.900,133316685.620,146700205.580,212501140.400,215863853.960,214772208.740,197681979.280
150,51894122.560,104270415.640,127298090.220,149986153.620,199664805.660,204599740.300,207984695.560,200447207.540
175,62461563.760,106960099.320,127553811.600,159040157.760,205629536.440,189662839.820,192833556.820,191283138.240
200,60025592.440,105396054.600,122936005.340,158157926.220,200302834.800,181799043.540,176467759.220,172353469.520
300,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
700,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
800,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
900,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
