tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,236258.400,-1.000,-1.000,-1.000
100,855058.000,-1.000,-1.000,-1.000
125,1240598.900,-1.000,-1.000,-1.000
150,2506811.300,11571362.000,-1.000,-1.000
175,2181086.000,12569178.500,-1.000,-1.000
200,5885386.800,9740856.900,10229315.900,-1.000
300,6300294.800,10056916.700,9854539.400,7454694.200
400,5979073.200,15536262.900,9410652.300,7643320.000
500,7316580.200,13895691.800,9908626.600,9314170.100
600,7739958.100,16199076.900,9809452.500,8571980.200
700,7590721.100,15069501.600,11937050.200,8108476.200
800,6921282.400,13791814.400,11482907.300,7893769.700
900,6980734.100,13166001.200,10084952.300,8736080.700
1000,6644224.500,11883245.200,9685186.200,9773653.200
