Seed = 1, Score = 104.0, RunTime = 399 ms
Seed = 2, Score = 560.0, RunTime = 3719 ms
Seed = 3, Score = 706.0, RunTime = 3165 ms
Seed = 4, Score = 302.0, RunTime = 609 ms
Seed = 5, Score = 859.0, RunTime = 1274 ms
Seed = 6, Score = 5459.0, RunTime = 655 ms
Seed = 7, Score = 2091.0, RunTime = 1227 ms
Seed = 8, Score = 100.0, RunTime = 193 ms
Seed = 9, Score = 6243.0, RunTime = 577 ms
Seed = 10, Score = 628.0, RunTime = 1688 ms
Seed = 11, Score = 303.0, RunTime = 295 ms
Seed = 12, Score = 162.0, RunTime = 511 ms
Seed = 13, Score = 372.0, RunTime = 1455 ms
Seed = 14, Score = 262.0, RunTime = 2245 ms
Seed = 15, Score = 412.0, RunTime = 651 ms
Seed = 16, Score = 767.0, RunTime = 350 ms
Seed = 17, Score = 5141.0, RunTime = 502 ms
Seed = 18, Score = 422.0, RunTime = 2434 ms
Seed = 19, Score = 186.0, RunTime = 201 ms
Seed = 20, Score = 124.0, RunTime = 200 ms
Seed = 21, Score = 1933.0, RunTime = 807 ms
Seed = 22, Score = 410.0, RunTime = 957 ms
Seed = 23, Score = 10041.0, RunTime = 1844 ms
Seed = 24, Score = 324.0, RunTime = 1866 ms
Seed = 25, Score = 1449.0, RunTime = 480 ms
Seed = 26, Score = 282.0, RunTime = 1683 ms
Seed = 27, Score = 3149.0, RunTime = 923 ms
Seed = 28, Score = 665.0, RunTime = 136 ms
Seed = 29, Score = 124.0, RunTime = 225 ms
Seed = 30, Score = 1835.0, RunTime = 523 ms
Seed = 31, Score = 891.0, RunTime = 141 ms
Seed = 32, Score = 118.0, RunTime = 264 ms
Seed = 33, Score = 6045.0, RunTime = 303 ms
Seed = 34, Score = 464.0, RunTime = 1651 ms
Seed = 35, Score = 1021.0, RunTime = 790 ms
Seed = 36, Score = 13251.0, RunTime = 402 ms
Seed = 37, Score = 6437.0, RunTime = 508 ms
Seed = 38, Score = 190.0, RunTime = 212 ms
Seed = 39, Score = 322.0, RunTime = 2285 ms
Seed = 40, Score = 82.0, RunTime = 291 ms
Seed = 41, Score = 239.0, RunTime = 123 ms
Seed = 42, Score = 2645.0, RunTime = 409 ms
Seed = 43, Score = 612.0, RunTime = 735 ms
Seed = 44, Score = 270.0, RunTime = 426 ms
Seed = 45, Score = 4727.0, RunTime = 818 ms
Seed = 46, Score = 4065.0, RunTime = 1712 ms
Seed = 47, Score = 424.0, RunTime = 1183 ms
Seed = 48, Score = 2039.0, RunTime = 642 ms
Seed = 49, Score = 636.0, RunTime = 4170 ms
Seed = 50, Score = 3851.0, RunTime = 264 ms
Seed = 51, Score = 304.0, RunTime = 5832 ms
Seed = 52, Score = 10593.0, RunTime = 1269 ms
Seed = 53, Score = 372.0, RunTime = 841 ms
Seed = 54, Score = 1465.0, RunTime = 266 ms
Seed = 55, Score = 550.0, RunTime = 1676 ms
Seed = 56, Score = 6407.0, RunTime = 394 ms
Seed = 57, Score = 1145.0, RunTime = 721 ms
Seed = 58, Score = 793.0, RunTime = 532 ms
Seed = 59, Score = 500.0, RunTime = 2636 ms
Seed = 60, Score = 2605.0, RunTime = 829 ms
Seed = 61, Score = 7289.0, RunTime = 917 ms
Seed = 62, Score = 783.0, RunTime = 550 ms
Seed = 63, Score = 244.0, RunTime = 667 ms
Seed = 64, Score = 7215.0, RunTime = 1218 ms
Seed = 65, Score = 124.0, RunTime = 261 ms
Seed = 66, Score = 250.0, RunTime = 1535 ms
Seed = 67, Score = 5091.0, RunTime = 1221 ms
Seed = 68, Score = 170.0, RunTime = 1170 ms
Seed = 69, Score = 13687.0, RunTime = 1006 ms
Seed = 70, Score = 13005.0, RunTime = 773 ms
Seed = 71, Score = 102.0, RunTime = 439 ms
Seed = 72, Score = 2287.0, RunTime = 485 ms
Seed = 73, Score = 779.0, RunTime = 477 ms
Seed = 74, Score = 418.0, RunTime = 1316 ms
Seed = 75, Score = 556.0, RunTime = 1402 ms
Seed = 76, Score = 365.0, RunTime = 178 ms
Seed = 77, Score = 696.0, RunTime = 1674 ms
Seed = 78, Score = 158.0, RunTime = 262 ms
Seed = 79, Score = 731.0, RunTime = 238 ms
Seed = 80, Score = 284.0, RunTime = 676 ms
Seed = 81, Score = 3953.0, RunTime = 568 ms
Seed = 82, Score = 1327.0, RunTime = 655 ms
Seed = 83, Score = 9559.0, RunTime = 1235 ms
Seed = 84, Score = 405.0, RunTime = 398 ms
Seed = 85, Score = 468.0, RunTime = 755 ms
Seed = 86, Score = 456.0, RunTime = 991 ms
Seed = 87, Score = 16789.0, RunTime = 648 ms
Seed = 88, Score = 694.0, RunTime = 1107 ms
Seed = 89, Score = 5317.0, RunTime = 309 ms
Seed = 90, Score = 1345.0, RunTime = 888 ms
Seed = 91, Score = 476.0, RunTime = 1327 ms
Seed = 92, Score = 587.0, RunTime = 169 ms
Seed = 93, Score = 8395.0, RunTime = 730 ms
Seed = 94, Score = 222.0, RunTime = 362 ms
Seed = 95, Score = 180.0, RunTime = 393 ms
Seed = 96, Score = 640.0, RunTime = 1306 ms
Seed = 97, Score = 1841.0, RunTime = 586 ms
Seed = 98, Score = 152.0, RunTime = 225 ms
Seed = 99, Score = 168.0, RunTime = 371 ms
Seed = 100, Score = 1085.0, RunTime = 834 ms

            Seeds: 1 to 100
   Executed Cases: 100
     Failed Cases: 0
    Avg. Run Time: 944 ms
    Max. Run Time: 5832 ms
