Seed = 1, Score = 94.0, RunTime = 1199 ms
Seed = 2, Score = 578.0, RunTime = 26233 ms
Seed = 3, Score = 11277.0, RunTime = 4363 ms
Seed = 4, Score = 308.0, RunTime = 3804 ms
Seed = 5, Score = 8159.0, RunTime = 5389 ms
Seed = 6, Score = 754.0, RunTime = 12792 ms
Seed = 7, Score = 518.0, RunTime = 18471 ms
Seed = 8, Score = 120.0, RunTime = 1052 ms
Seed = 9, Score = 338.0, RunTime = 3405 ms
Seed = 10, Score = 3363.0, RunTime = 6085 ms
Seed = 11, Score = 146.0, RunTime = 1038 ms
Seed = 12, Score = 152.0, RunTime = 1698 ms
Seed = 13, Score = 9717.0, RunTime = 2064 ms
Seed = 14, Score = 228.0, RunTime = 24825 ms
Seed = 15, Score = 328.0, RunTime = 6709 ms
Seed = 16, Score = 164.0, RunTime = 4086 ms
Seed = 17, Score = 8075.0, RunTime = 996 ms
Seed = 18, Score = 448.0, RunTime = 15436 ms
Seed = 19, Score = 98.0, RunTime = 802 ms
Seed = 20, Score = 202.0, RunTime = 568 ms
Seed = 21, Score = 252.0, RunTime = 1731 ms
Seed = 22, Score = 254.0, RunTime = 13116 ms
Seed = 23, Score = 650.0, RunTime = 27524 ms
Seed = 24, Score = 298.0, RunTime = 45125 ms
Seed = 25, Score = 324.0, RunTime = 4882 ms
Seed = 26, Score = 236.0, RunTime = 4433 ms
Seed = 27, Score = 797.0, RunTime = 2152 ms
Seed = 28, Score = 152.0, RunTime = 735 ms
Seed = 29, Score = 244.0, RunTime = 935 ms
Seed = 30, Score = 442.0, RunTime = 5017 ms
Seed = 31, Score = 166.0, RunTime = 823 ms
Seed = 32, Score = 152.0, RunTime = 1028 ms
Seed = 33, Score = 3953.0, RunTime = 1324 ms
Seed = 34, Score = 308.0, RunTime = 6590 ms
Seed = 35, Score = 332.0, RunTime = 6250 ms
Seed = 36, Score = 526.0, RunTime = 7056 ms
Seed = 37, Score = 470.0, RunTime = 4214 ms
Seed = 38, Score = 260.0, RunTime = 2379 ms
Seed = 39, Score = 356.0, RunTime = 15754 ms
Seed = 40, Score = 82.0, RunTime = 2128 ms
Seed = 41, Score = 262.0, RunTime = 524 ms
Seed = 42, Score = 262.0, RunTime = 1846 ms
Seed = 43, Score = 450.0, RunTime = 5489 ms
Seed = 44, Score = 222.0, RunTime = 3869 ms
Seed = 45, Score = 432.0, RunTime = 9176 ms
Seed = 46, Score = 570.0, RunTime = 18941 ms
Seed = 47, Score = 388.0, RunTime = 7371 ms
Seed = 48, Score = 348.0, RunTime = 5951 ms
Seed = 49, Score = 520.0, RunTime = 37129 ms
Seed = 50, Score = 224.0, RunTime = 1642 ms
Seed = 51, Score = 312.0, RunTime = 28362 ms
Seed = 52, Score = 546.0, RunTime = 21932 ms
Seed = 53, Score = 284.0, RunTime = 3628 ms
Seed = 54, Score = 282.0, RunTime = 2960 ms
Seed = 55, Score = 414.0, RunTime = 13086 ms
Seed = 56, Score = 368.0, RunTime = 22845 ms
Seed = 57, Score = 356.0, RunTime = 3933 ms
Seed = 58, Score = 256.0, RunTime = 4046 ms
Seed = 59, Score = 1285.0, RunTime = 11270 ms
Seed = 60, Score = 466.0, RunTime = 5098 ms
Seed = 61, Score = 1233.0, RunTime = 5066 ms
Seed = 62, Score = 216.0, RunTime = 2349 ms
Seed = 63, Score = 270.0, RunTime = 2109 ms
Seed = 64, Score = 434.0, RunTime = 28277 ms
Seed = 65, Score = 92.0, RunTime = 799 ms
Seed = 66, Score = 987.0, RunTime = 13609 ms
Seed = 67, Score = 338.0, RunTime = 9692 ms
Seed = 68, Score = 150.0, RunTime = 9114 ms
Seed = 69, Score = 786.0, RunTime = 5034 ms
Seed = 70, Score = 530.0, RunTime = 20456 ms
Seed = 71, Score = 112.0, RunTime = 3164 ms
Seed = 72, Score = 3823.0, RunTime = 9490 ms
Seed = 73, Score = 841.0, RunTime = 761 ms
Seed = 74, Score = 288.0, RunTime = 2988 ms
Seed = 75, Score = 576.0, RunTime = 7745 ms
Seed = 76, Score = 186.0, RunTime = 1015 ms
Seed = 77, Score = 1129.0, RunTime = 3006 ms
Seed = 78, Score = 100.0, RunTime = 719 ms
Seed = 79, Score = 136.0, RunTime = 495 ms
Seed = 80, Score = 220.0, RunTime = 2962 ms
Seed = 81, Score = 332.0, RunTime = 4068 ms
Seed = 82, Score = 576.0, RunTime = 9557 ms
Seed = 83, Score = 12245.0, RunTime = 1353 ms
Seed = 84, Score = 200.0, RunTime = 962 ms
Seed = 85, Score = 144.0, RunTime = 6012 ms
Seed = 86, Score = 5181.0, RunTime = 2509 ms
Seed = 87, Score = 15843.0, RunTime = 4754 ms
Seed = 88, Score = 526.0, RunTime = 13929 ms
Seed = 89, Score = 3929.0, RunTime = 1576 ms
Seed = 90, Score = 661.0, RunTime = 6680 ms
Seed = 91, Score = 490.0, RunTime = 5997 ms
Seed = 92, Score = 174.0, RunTime = 960 ms
Seed = 93, Score = 330.0, RunTime = 8775 ms
Seed = 94, Score = 160.0, RunTime = 1572 ms
Seed = 95, Score = 178.0, RunTime = 1910 ms
Seed = 96, Score = 508.0, RunTime = 10050 ms
Seed = 97, Score = 280.0, RunTime = 1984 ms
Seed = 98, Score = 152.0, RunTime = 860 ms
Seed = 99, Score = 130.0, RunTime = 956 ms
Seed = 100, Score = 562.0, RunTime = 7166 ms

            Seeds: 1 to 100
   Executed Cases: 100
     Failed Cases: 0
    Avg. Run Time: 7237 ms
    Max. Run Time: 45125 ms
