Seed = 1, Score = 96.0, RunTime = 1268 ms
Seed = 2, Score = 478.0, RunTime = 6696 ms
Seed = 3, Score = 524.0, RunTime = 6690 ms
Seed = 4, Score = 238.0, RunTime = 2340 ms
Seed = 5, Score = 1345.0, RunTime = 2627 ms
Seed = 6, Score = 624.0, RunTime = 7077 ms
Seed = 7, Score = 1785.0, RunTime = 6782 ms
Seed = 8, Score = 116.0, RunTime = 1201 ms
Seed = 9, Score = 400.0, RunTime = 2135 ms
Seed = 10, Score = 546.0, RunTime = 6144 ms
Seed = 11, Score = 134.0, RunTime = 1456 ms
Seed = 12, Score = 150.0, RunTime = 2309 ms
Seed = 13, Score = 12031.0, RunTime = 1261 ms
Seed = 14, Score = 318.0, RunTime = 4659 ms
Seed = 15, Score = 1091.0, RunTime = 2298 ms
Seed = 16, Score = 200.0, RunTime = 3770 ms
Seed = 17, Score = 1051.0, RunTime = 2629 ms
Seed = 18, Score = 855.0, RunTime = 3213 ms
Seed = 19, Score = 94.0, RunTime = 970 ms
Seed = 20, Score = 112.0, RunTime = 963 ms
Seed = 21, Score = 2451.0, RunTime = 1964 ms
Seed = 22, Score = 384.0, RunTime = 6699 ms
Seed = 23, Score = 608.0, RunTime = 6930 ms
Seed = 24, Score = 316.0, RunTime = 7540 ms
Seed = 25, Score = 358.0, RunTime = 1339 ms
Seed = 26, Score = 298.0, RunTime = 2730 ms
Seed = 27, Score = 300.0, RunTime = 2920 ms
Seed = 28, Score = 112.0, RunTime = 1136 ms
Seed = 29, Score = 168.0, RunTime = 1202 ms
Seed = 30, Score = 444.0, RunTime = 3298 ms
Seed = 31, Score = 160.0, RunTime = 1151 ms
Seed = 32, Score = 118.0, RunTime = 1208 ms
Seed = 33, Score = 5575.0, RunTime = 1494 ms
Seed = 34, Score = 414.0, RunTime = 6071 ms
Seed = 35, Score = 338.0, RunTime = 1850 ms
Seed = 36, Score = 754.0, RunTime = 3481 ms
Seed = 37, Score = 993.0, RunTime = 3670 ms
Seed = 38, Score = 258.0, RunTime = 2958 ms
Seed = 39, Score = 252.0, RunTime = 3563 ms
Seed = 40, Score = 150.0, RunTime = 1879 ms
Seed = 41, Score = 116.0, RunTime = 1044 ms
Seed = 42, Score = 204.0, RunTime = 2087 ms
Seed = 43, Score = 494.0, RunTime = 2093 ms
Seed = 44, Score = 515.0, RunTime = 1778 ms
Seed = 45, Score = 504.0, RunTime = 2632 ms
Seed = 46, Score = 11019.0, RunTime = 5084 ms
Seed = 47, Score = 348.0, RunTime = 3392 ms
Seed = 48, Score = 378.0, RunTime = 2587 ms
Seed = 49, Score = 422.0, RunTime = 8528 ms
Seed = 50, Score = 248.0, RunTime = 1701 ms
Seed = 51, Score = 298.0, RunTime = 7276 ms
Seed = 52, Score = 412.0, RunTime = 6828 ms
Seed = 53, Score = 274.0, RunTime = 3398 ms
Seed = 54, Score = 306.0, RunTime = 2617 ms
Seed = 55, Score = 528.0, RunTime = 7185 ms
Seed = 56, Score = 278.0, RunTime = 5928 ms
Seed = 57, Score = 388.0, RunTime = 2714 ms
Seed = 58, Score = 322.0, RunTime = 1740 ms
Seed = 59, Score = 322.0, RunTime = 6812 ms
Seed = 60, Score = 382.0, RunTime = 3171 ms
Seed = 61, Score = 9199.0, RunTime = 2201 ms
Seed = 62, Score = 208.0, RunTime = 3420 ms
Seed = 63, Score = 1833.0, RunTime = 1307 ms
Seed = 64, Score = 446.0, RunTime = 6903 ms
Seed = 65, Score = 100.0, RunTime = 1215 ms
Seed = 66, Score = 234.0, RunTime = 7380 ms
Seed = 67, Score = 1089.0, RunTime = 2437 ms
Seed = 68, Score = 170.0, RunTime = 6208 ms
Seed = 69, Score = 12567.0, RunTime = 4688 ms
Seed = 70, Score = 582.0, RunTime = 7663 ms
Seed = 71, Score = 106.0, RunTime = 2279 ms
Seed = 72, Score = 402.0, RunTime = 4846 ms
Seed = 73, Score = 182.0, RunTime = 1590 ms
Seed = 74, Score = 440.0, RunTime = 4542 ms
Seed = 75, Score = 540.0, RunTime = 4213 ms
Seed = 76, Score = 196.0, RunTime = 1612 ms
Seed = 77, Score = 3503.0, RunTime = 4472 ms
Seed = 78, Score = 114.0, RunTime = 1249 ms
Seed = 79, Score = 202.0, RunTime = 987 ms
Seed = 80, Score = 242.0, RunTime = 3267 ms
Seed = 81, Score = 961.0, RunTime = 2178 ms
Seed = 82, Score = 907.0, RunTime = 3198 ms
Seed = 83, Score = 614.0, RunTime = 2571 ms
Seed = 84, Score = 142.0, RunTime = 1093 ms
Seed = 85, Score = 168.0, RunTime = 2838 ms
Seed = 86, Score = 362.0, RunTime = 2999 ms
Seed = 87, Score = 518.0, RunTime = 8168 ms
Seed = 88, Score = 638.0, RunTime = 6488 ms
Seed = 89, Score = 1279.0, RunTime = 1755 ms
Seed = 90, Score = 492.0, RunTime = 3758 ms
Seed = 91, Score = 560.0, RunTime = 6897 ms
Seed = 92, Score = 160.0, RunTime = 1502 ms
Seed = 93, Score = 646.0, RunTime = 5103 ms
Seed = 94, Score = 200.0, RunTime = 1927 ms
Seed = 95, Score = 158.0, RunTime = 1700 ms
Seed = 96, Score = 554.0, RunTime = 7208 ms
Seed = 97, Score = 362.0, RunTime = 1835 ms
Seed = 98, Score = 126.0, RunTime = 1135 ms
Seed = 99, Score = 158.0, RunTime = 1602 ms
Seed = 100, Score = 414.0, RunTime = 4593 ms

            Seeds: 1 to 100
   Executed Cases: 100
     Failed Cases: 0
    Avg. Run Time: 3491 ms
    Max. Run Time: 8528 ms
