Seed = 1, Score = 114.0, RunTime = 1709 ms
Seed = 2, Score = 5249.0, RunTime = 9909 ms
Seed = 3, Score = 606.0, RunTime = 7261 ms
Seed = 4, Score = 242.0, RunTime = 2703 ms
Seed = 5, Score = 460.0, RunTime = 3784 ms
Seed = 6, Score = 578.0, RunTime = 5324 ms
Seed = 7, Score = 480.0, RunTime = 6652 ms
Seed = 8, Score = 120.0, RunTime = 1654 ms
Seed = 9, Score = 6603.0, RunTime = 1583 ms
Seed = 10, Score = 1249.0, RunTime = 6508 ms
Seed = 11, Score = 174.0, RunTime = 2196 ms
Seed = 12, Score = 126.0, RunTime = 1851 ms
Seed = 13, Score = 6247.0, RunTime = 2868 ms
Seed = 14, Score = 206.0, RunTime = 7019 ms
Seed = 15, Score = 324.0, RunTime = 4271 ms
Seed = 16, Score = 180.0, RunTime = 4401 ms
Seed = 17, Score = 402.0, RunTime = 4982 ms
Seed = 18, Score = 362.0, RunTime = 3293 ms
Seed = 19, Score = 116.0, RunTime = 1627 ms
Seed = 20, Score = 144.0, RunTime = 1463 ms
Seed = 21, Score = 5267.0, RunTime = 1420 ms
Seed = 22, Score = 236.0, RunTime = 5603 ms
Seed = 23, Score = 12117.0, RunTime = 3696 ms
Seed = 24, Score = 370.0, RunTime = 7771 ms
Seed = 25, Score = 831.0, RunTime = 1659 ms
Seed = 26, Score = 184.0, RunTime = 3776 ms
Seed = 27, Score = 432.0, RunTime = 4196 ms
Seed = 28, Score = 114.0, RunTime = 1848 ms
Seed = 29, Score = 559.0, RunTime = 1495 ms
Seed = 30, Score = 358.0, RunTime = 4116 ms
Seed = 31, Score = 174.0, RunTime = 1779 ms
Seed = 32, Score = 473.0, RunTime = 2211 ms
Seed = 33, Score = 5705.0, RunTime = 1777 ms
Seed = 34, Score = 791.0, RunTime = 1551 ms
Seed = 35, Score = 336.0, RunTime = 1727 ms
Seed = 36, Score = 664.0, RunTime = 4100 ms
Seed = 37, Score = 1097.0, RunTime = 4764 ms
Seed = 38, Score = 639.0, RunTime = 1715 ms
Seed = 39, Score = 306.0, RunTime = 3928 ms
Seed = 40, Score = 80.0, RunTime = 2078 ms
Seed = 41, Score = 94.0, RunTime = 1604 ms
Seed = 42, Score = 212.0, RunTime = 1620 ms
Seed = 43, Score = 406.0, RunTime = 3921 ms
Seed = 44, Score = 176.0, RunTime = 2262 ms
Seed = 45, Score = 432.0, RunTime = 6836 ms
Seed = 46, Score = 706.0, RunTime = 4709 ms
Seed = 47, Score = 1085.0, RunTime = 2746 ms
Seed = 48, Score = 346.0, RunTime = 3907 ms
Seed = 49, Score = 596.0, RunTime = 7950 ms
Seed = 50, Score = 3383.0, RunTime = 2235 ms
Seed = 51, Score = 300.0, RunTime = 8053 ms
Seed = 52, Score = 348.0, RunTime = 7091 ms
Seed = 53, Score = 344.0, RunTime = 2525 ms
Seed = 54, Score = 1051.0, RunTime = 2104 ms
Seed = 55, Score = 382.0, RunTime = 6746 ms
Seed = 56, Score = 296.0, RunTime = 7220 ms
Seed = 57, Score = 1275.0, RunTime = 2266 ms
Seed = 58, Score = 302.0, RunTime = 3467 ms
Seed = 59, Score = 342.0, RunTime = 6834 ms
Seed = 60, Score = 2055.0, RunTime = 3270 ms
Seed = 61, Score = 598.0, RunTime = 1483 ms
Seed = 62, Score = 194.0, RunTime = 3513 ms
Seed = 63, Score = 256.0, RunTime = 2180 ms
Seed = 64, Score = 498.0, RunTime = 8469 ms
Seed = 65, Score = 106.0, RunTime = 2497 ms
Seed = 66, Score = 252.0, RunTime = 3993 ms
Seed = 67, Score = 430.0, RunTime = 6608 ms
Seed = 68, Score = 176.0, RunTime = 7148 ms
Seed = 69, Score = 620.0, RunTime = 4131 ms
Seed = 70, Score = 766.0, RunTime = 8259 ms
Seed = 71, Score = 180.0, RunTime = 2294 ms
Seed = 72, Score = 296.0, RunTime = 3677 ms
Seed = 73, Score = 779.0, RunTime = 1540 ms
Seed = 74, Score = 338.0, RunTime = 4181 ms
Seed = 75, Score = 8365.0, RunTime = 2019 ms
Seed = 76, Score = 176.0, RunTime = 1888 ms
Seed = 77, Score = 888.0, RunTime = 7333 ms
Seed = 78, Score = 106.0, RunTime = 1681 ms
Seed = 79, Score = 148.0, RunTime = 1699 ms
Seed = 80, Score = 747.0, RunTime = 1638 ms
Seed = 81, Score = 310.0, RunTime = 2285 ms
Seed = 82, Score = 602.0, RunTime = 2049 ms
Seed = 83, Score = 488.0, RunTime = 3296 ms
Seed = 84, Score = 323.0, RunTime = 1645 ms
Seed = 85, Score = 148.0, RunTime = 3021 ms
Seed = 86, Score = 316.0, RunTime = 2583 ms
Seed = 87, Score = 538.0, RunTime = 5028 ms
Seed = 88, Score = 606.0, RunTime = 4076 ms
Seed = 89, Score = 4441.0, RunTime = 1974 ms
Seed = 90, Score = 332.0, RunTime = 4302 ms
Seed = 91, Score = 458.0, RunTime = 4060 ms
Seed = 92, Score = 160.0, RunTime = 1650 ms
Seed = 93, Score = 418.0, RunTime = 2652 ms
Seed = 94, Score = 204.0, RunTime = 1847 ms
Seed = 95, Score = 172.0, RunTime = 2059 ms
Seed = 96, Score = 534.0, RunTime = 6018 ms
Seed = 97, Score = 352.0, RunTime = 3903 ms
Seed = 98, Score = 122.0, RunTime = 1836 ms
Seed = 99, Score = 208.0, RunTime = 1796 ms
Seed = 100, Score = 8085.0, RunTime = 1925 ms

            Seeds: 1 to 100
   Executed Cases: 100
     Failed Cases: 0
    Avg. Run Time: 3638 ms
    Max. Run Time: 9909 ms
