810 80
2 0 19
2 0 39
2 0 59
2 0 83
2 0 86
2 0 89
2 0 101
2 0 104
2 0 107
2 0 110
2 0 113
2 0 116
2 0 117
2 0 118
2 0 119
2 1 18
2 1 38
2 1 58
2 1 77
2 1 80
2 1 88
2 1 95
2 1 98
2 1 106
2 1 110
2 1 113
2 1 114
2 1 115
2 1 116
2 1 119
2 2 17
2 2 37
2 2 57
2 2 74
2 2 79
2 2 85
2 2 92
2 2 97
2 2 103
2 2 110
2 2 111
2 2 112
2 2 113
2 2 116
2 2 119
2 3 16
2 3 36
2 3 56
2 3 73
2 3 76
2 3 82
2 3 91
2 3 94
2 3 100
2 3 108
2 3 109
2 3 110
2 3 113
2 3 116
2 3 119
2 4 15
2 4 35
2 4 55
2 4 68
2 4 71
2 4 87
2 4 95
2 4 98
2 4 101
2 4 104
2 4 105
2 4 106
2 4 107
2 4 115
2 4 118
2 5 14
2 5 34
2 5 54
2 5 65
2 5 70
2 5 84
2 5 92
2 5 97
2 5 101
2 5 102
2 5 103
2 5 104
2 5 107
2 5 112
2 5 118
2 6 13
2 6 33
2 6 53
2 6 64
2 6 67
2 6 81
2 6 91
2 6 94
2 6 99
2 6 100
2 6 101
2 6 104
2 6 107
2 6 109
2 6 118
2 7 12
2 7 32
2 7 52
2 7 62
2 7 69
2 7 78
2 7 92
2 7 95
2 7 96
2 7 97
2 7 98
2 7 103
2 7 106
2 7 112
2 7 115
2 8 11
2 8 31
2 8 51
2 8 61
2 8 66
2 8 75
2 8 91
2 8 93
2 8 94
2 8 95
2 8 98
2 8 100
2 8 106
2 8 109
2 8 115
2 9 10
2 9 30
2 9 50
2 9 60
2 9 63
2 9 72
2 9 90
2 9 91
2 9 92
2 9 94
2 9 97
2 9 100
2 9 103
2 9 109
2 9 112
2 10 29
2 10 49
2 10 68
2 10 71
2 10 77
2 10 80
2 10 83
2 10 86
2 10 87
2 10 88
2 10 89
2 10 105
2 10 114
2 10 117
2 11 28
2 11 48
2 11 65
2 11 70
2 11 74
2 11 79
2 11 83
2 11 84
2 11 85
2 11 86
2 11 89
2 11 102
2 11 111
2 11 117
2 12 27
2 12 47
2 12 64
2 12 67
2 12 73
2 12 76
2 12 81
2 12 82
2 12 83
2 12 86
2 12 89
2 12 99
2 12 108
2 12 117
2 13 26
2 13 46
2 13 62
2 13 69
2 13 74
2 13 77
2 13 78
2 13 79
2 13 80
2 13 85
2 13 88
2 13 96
2 13 111
2 13 114
2 14 25
2 14 45
2 14 61
2 14 66
2 14 73
2 14 75
2 14 76
2 14 77
2 14 80
2 14 82
2 14 88
2 14 93
2 14 108
2 14 114
2 15 24
2 15 44
2 15 60
2 15 63
2 15 72
2 15 73
2 15 74
2 15 76
2 15 79
2 15 82
2 15 85
2 15 90
2 15 108
2 15 111
2 16 23
2 16 43
2 16 62
2 16 65
2 16 68
2 16 69
2 16 70
2 16 71
2 16 78
2 16 84
2 16 87
2 16 96
2 16 102
2 16 105
2 17 22
2 17 42
2 17 61
2 17 64
2 17 66
2 17 67
2 17 68
2 17 71
2 17 75
2 17 81
2 17 87
2 17 93
2 17 99
2 17 105
2 18 21
2 18 41
2 18 60
2 18 63
2 18 64
2 18 65
